"","bin_range","31","41","51"
"1","(506,547]",0.73469387755102,0.26530612244898,0
"2","(548,588]",0.734265734265734,0.251748251748252,0.013986013986014
"3","(589,629]",0.530731707317073,0.440975609756098,0.0282926829268293
"4","(630,670]",0.171514114627887,0.774593669803251,0.0538922155688623
"5","(671,711]",0.0343530591775326,0.854312938816449,0.111334002006018
"6","(712,752]",0.0124089560291341,0.723226328567575,0.264364715403291
"7","(753,793]",0.00910931174089069,0.401821862348178,0.589068825910931
"8","(794,834]",0.0045045045045045,0.160660660660661,0.834834834834835
"9","(835,875]",0,0.0869565217391304,0.91304347826087
"10","(876,916]",0,0,1
